,items,count
109,olive oil  regular not extra virgin,12
110,bay leaf,9
111,jerk seasoning paste  bottled,16
112,dry ginger powder,1
113,lemon,16
114,mixed sea food,5
115,ground pimento,14
116,pectin,11
117,desi ghee,10
118,sevaiyan,9
119,plums  cut,4
120,english cucumbers,9
121,khoya,30
122,garlic clove,8
123,jalapenos,12
124,goat cheese,1
125,yellow chilli powder,13
126,olives,4
127,filo pastry,13
128,potatoes,23
129,cardamom  elaichi  powder,2
130,dates  ripe,2
131,jaggery  organic,5
132,dessicated coconut,3
133,cucumbers,16
134,raw banana  boiled,2
135,jalapeno poppers,8
136,chocolate,10
137,cinnamon sticks,7
138,oyster sauce,11
139,yolk,6
140,uncooked quinoa,12
141,full cream milk,3
142,vanilla essence,1
143,coconut,7
144,lemon slices  1/8 inch thick,4
145,sweet paprika powder,13
146,olive oil  for grilling,12
147,barley salsa,2
148,fried mixed herbs  italian herb,2
149,grapes,12
150,garam masala powder,8
151,peppercorn,13
152,artichoke hearts  cubed,4
153,cube size,6
154,norwegian salmon,9
155,fresh raspeberry,13
156,raisins,9
157,garlic cloves  crushed,5
158,egg whites,21
159,strawberry,5
160,sear fish,9
161,butter  softened,8
162,processed crab meat,8
163,oil  for frying,15
164,cucumber,6
165,haldi,14
166,red onions,5
167,vodka,1
168,olive oil,25
169,sunflower seeds,5
170,butter  chilled,3
171,oats,14
172,instant vanilla pudding mix,6
173,freshly ground black pepper,7
174,scrubbed,9
175,polenta,1
176,tofu,6
177,peanuts,14
178,pink peppercorns  crushed,15
179,water,13
180,seedless dates,10
181,fennel seeds,6
182,tamarind paste,2
183,double cream,1
184,tomatoes  diced,3
185,and had with bread,7
186,chinese rice wine,12
187,mustard oil,3
188,french bean diamond,7
189,crushed jaggery,12
190,ground black pepper,14
191,watermelon,4
192,millet flour,4
193,korean pear  substitution asian pear,3
194,chicken  cut into pieces,1
195,coriander,12
196,warm water,10
197,ground hazelnut,15
198,shahi jeera,7
199,white butter,1
200,for hazelnut white chocolate pressed sable:,7
201,fresh buffalo mozzarella cheese,11
202,berries,8
203,whole chicken  skin on- rinsed and dressed,12
204,cherry tomato,8
205,salt to taste,5
206,oven temp: 150 c-300 f,13
207,roma tomatoes  de-seedeed,10
208,river sole fish  cut in thin strips,8
209,cashew nuts and almonds,8
210,apples,3
211,baguette  grilled slices,12
212,red chilli whole,4
213,stock,12
214,somtam dressing,15
215,paneer  cottage cheese,15
216,clove,8
217,low fat milk,2
218,prunes  stoned dried,10
219,egg,27
220,condensed milk,16
221,mixed nuts  almonds,12
222,cocoa butter,6
223,ginger,7
224,black pepper,16
225,red chilli powder or paprika or cayenne pepper,4
226,sugar syrup/gur  jaggery  syrup,9
227,curry leaves  deep fried,8
228,dark chocolate,18
229,ham slices,11
230,full fat milk,7
231,sesame oil,3
232,almond paste,5
233,vanilla flavoured yogurt  low fat,8
234,christmas dry fruits  pre-soaked,2
235,whole wheat flour,15
236,toasted almonds,16
237,fresh thyme sprigs,12
238,hung curd,25
239,mint leaves,6
240,dry yeast,10
241,egg yolk,11
242,fresh bhang leaves,15
243,carom seeds  ajwain,5
244,rose essence or vanilla essence,6
245,pecans,9
246,couscous,3
247,manila clams or cockles,10
248,freshly ground pepper,9
249,egg yolks +  whole eggs,12
250,rice,6
251,chaat masala,15
252,dry coconut,6
253,dry red chilli,11
254,cauliflower,8
255,green chili,10
256,black garlic pickle,14
257,ginger-garlic paste,3
258,green cardamom powder,6
259,red pepper flakes  crushed,15
260,cheddar  extra sharp,11
261,buttermilk,15
262,pizza dough  2 boules,11
263,ginger/galangal,9
264,mozzarella cheese,8
265,jerk seasoning powder  bottled,12
266,yellow capsicum cube  cut,16
267,planko bread crumbs,14
268,green chilies,7
269,poppy seeds  khus-khus,16
270,purple cabbage,5
271,cooked rice,19
272,fresh thyme sprigs  washed or 1/2 tsp dried thyme,9
273,mixed dried herbs,9
274,cottage cheese,16
275,capsicum green,4
276,herbs  basil,7
277,alapenos,3
278,green capsicum cube  cut,10
279,finger millet flour  ragi,6
280,50 ml oil,9
281,for the ratatouille:,4
282,egg whole frozen,10
283,nutmeg powder,1
284,pure vanilla extract,4
285,italian parmesan cheese,8
286,onion  thin slices,6
287,brandy,2
288,red chillies,3
289,whole milk,14
290,chilli,3
291,homemade or vegan pesto,3
292,black pepper powder,2
293,fresh cream,9
294,pink pepper corn,2
295,almonds  slivered,7
296,himalayan salt,7
297,peppercorns,16
298,black pepper corn,1
299,malabar peppercorn,5
300,green capsicum,15
301,ground cumin,11
302,pepper powder,9
303,yogurt  strained,16
304,chesse,14
305,nan,4
306,ancho chilli,15
307,flour,6
308,caster sugar,8
309,fresh italian parsley,12
310,mustard,7
311,surmai,9
312,home made prawn crisp,2
313,cow ghee,9
314,dry white wine,1
315,black pepper corn  crushed,11
316,parmesan,10
317,cream cheese  softened and cut into 8 pieces,4
318,lemon  juiced,5
319,refined oil,1
320,peanuts  to garnish,10
321,bread crumb,4
322,strawberries,4
323,red pepper,27
324,semolina  rava/sooji,14
325,thick neck of lamb chops,14
326,d in a yogurt tomato sauce. creamy texture.,13
327,cream of tarter,3
328,ginger  1 inch,2
329,tomato puree,8
330,mixed fruits  sultanas,14
331,feta cheese  crumbled,7
332,celery,13
333,chicken drumsticks,11
334,boiling water,6
335,vanilla infused tequila,13
336,curry leaf,4
337,basil,15
338,egg  scrambled,9
339,plain flour,16
340,besan,7
341,green chilli sauce,7
342,sugar,12
343,coriander leaves  chopped,4
344,urad dal flour  dry roast and grind the dal to a fine powder,13
345,these flakes of rice swell when added to liquid,3
346,espresso,7
347,eggs,8
348,minced garlic,4
349,riety of rice.,7
350,vinegar,12
351,asparagus,16
352,artichoke hearts,14
353,fresh lemon juice,8
354,pizza spice mix,6
355,assorted seasonal fruit,13
356,pomodaro tomatoes,14
357,for the cous cous:,5
358,oats flour,1
359,grain made from rice; usually made by heating rice kernels under high pressure in the presence of steam,1
360,wilted spinach,4
361,cinnamon,11
362,aubergines  cut in to 3 cm cubes,5
363,lemon rind,16
364,garlic cloves,12
365,basil leaves,13
366,crush mix chilli,8
367,pureed tamarind,12
368,red rice vermicelli / broken sooji / semolina vermicelli,11
369,red wine  merlot / zinfandel,14
370,dehusked rice which is flattened into flat light dry flakes,15
371,caramel sauce,2
372,chipotle powder,13
373,buttermilk  well-shaken,9
374,onions or shallots   cut in half,11
375,cookes peas,8
376,whole red chillies,14
377,candied pineapple  diced,9
378,kosher salt,18
379,for cajun spice:,5
380,coriander seed powder,15
381,cashew nuts,2
382,gherkin,2
383,barley,7
384,snow peas  trimmed,16
385,vermicelli,16
386,fresh cherries,4
387,tart apples  2 large,14
388,jeera,12
389,tamarind,5
390,cookie crumble,3
391,carnaroli rice,14
392,potato  boiled,3
393,green lemon juice,7
394,beer,2
395,palm sugar,4
396,pepperoni,4
397,whole free range chicken,2
398,rice flour,18
399,zucchini,12
400,rock salt,7
401,few dashes of hot sauce,16
402,mustard seeds  sarson,12
403,watermelon balls or small squares  seedless,9
404,unsalted butter,11
405,salt and black pepper,14
406,raw papaya,10
407,baked tart of mixed sea food served with phyllo fruit bowl,9
408,for chana chaat:,16
409,hot curry powder,13
410,cornflour  blended with water,15
411,ces served on a skewer,2
412,chicken breast  cut into strips,11
413,oil  sunflower or olive,7
414,almonds whole,15
415,20 gm porcini,10
416,one can of sweetened condensed milk,4
417,written by tamil poet arunagirinathar. pori is offered to hindu gods and goddesses in all poojas in the south indian states of kerala and tamil nadu.,2
418,chicken thigh,5
419,black salt,10
420,zucchini  cut in to 3 cm cubes,8
421,red onion  optional,3
422,cardamom powder,11
423,parsley,4
424,ghee or oil,10
425,beetroot colour or two oven cooked beetroot paste,15
426,noodles,5
427,mini chocolate chips,7
428,all purpose flour,9
429,dry fruits,15
430,tomatoes  peeled and seeded,12
431,onion  finely diced,6
432,almond milk,7
433,flax or chia seeds,12
434,poha,6
435,green onion,1
436,kalonjee,15
437,onions,13
438,basil sprig,9
439,or they can be fried in oil and spices and have a salty and/or spicy taste.[2],11
440,garlic  halved - skin on,6
441,refined oil  for fryingp,3
442,green chilles,4
443,green onions,2
444,to make a paste  you can increase or decrease according to your coffee tolerance,10
445,coconut powder,5
446,refined flour,3
447,kokum,12
448,onion,8
449,butter,12
450,hazelnut powder,6
451,filo sheets,7
452,black pepper  freshly ground,5
453,mustard seeds,10
454,made using indian spices,4
455,cilantro work best,1
456,"ginger and garlic
milk  whole fat or skimmed",1
457,bread slices,8
458,dried fish named kolim or jawla found in coastal maharashtra with onion and spices. usually eaten with bhakri or chapati,16
459,cream cheese,9
460,fresh corn kernels,13
461,lemon juice,14
462,eet peas in a masala/chili sauce,8
463,apple cider,15
464,all-purpose flour,13
465,broccoli,10
466,fresh raspberries,4
467,organic all-purpose flour,10
468,almonds  blanched,15
469,popped amaranthus  cholai,1
470,pot barley,6
471,beetroots,7
472,apple pie spice  cinnamon,9
473,cardamoms,14
474,coriander stems,8
475,egg white powder,15
476,green chillies slit open,11
477,fresh strawberries,12
478,tomato sauce,12
479,mango flesh,14
480,green cardamoms,2
481,salt & pepper,8
482,spinach leaves  cooked and drained,9
483,instant espresso  mixed with 1 tbsp water,11
484,lamb mince,16
485,red chilli sauce,2
486,yellow cornmeal,2
487,chawli,9
488,unpeeled,16
489,dry red chillies,14
490,semolina  rava/suji,8
491,fresh green chilly,16
492,add 1/4 tsp salt,4
493,five spice,6
494,bell peppers all 3,15
495,fresh green chillies  deseeded,11
496,lemon  zest and juice,10
497,white wine vinegar,10
498,spring fresh thyme - optional 1 bay leaf,15
499,sweet potatoes,3
500,pineapple chunks,14
501,green cardamom pod,1
502,jalapeno,6
503,pork chop,7
504,1/2 tsp breakfast sugar,16
505,tarts,8
506,cocoa powder,15
507,F,1
508,SALT,1
